TaskID_InDB,TaskID,OwnerJobID,CPUNeed_Claimed,RAMNeed_Claimed,StorageNeed_Claimed,ListOfResourceNeeds,TimeSubmission,TimeDeadLinePrefered,TimeDeadlineFinal,Date,SimID,EST,EFT,NodeID_SubmittedOn,LastStatus,LastStatusTime,PriorityNo,CPUNeed_Real,RAMNeed_Real,StorageNeed_Real,CPUNeed_Predicted,RAMNeed_Predicted,StorageNeed_Predicted,LengthOnScheduledMachine,LengthOnFogAndCloudBaseLineCPU,BaseLineCloudAndFogCpuMIPS,LengthOnBaseLineCloudMachine,LengthOnBaseLineFogMachine,LengthOnBaseLineIoTMachine,BaseLineCpuFogMIPS,BaseLineCpuIoTMIPS,BaseLineCpuCloudMIPS,BaseLineCloudBandwidth,BaseLineCloudAndFogBandwidth,BaseLineIoTBandwidth,BaseLineFogBandwidth,SuccessorsImediate,SuccessorsNotImmediate,PredecessorsImediate,TimeStartOnMachine,TimeFinishOnMachine
2725250,0,0,618031,75,347,125,42,45,45,1400/12/28,5508,42,44,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.124,549850,1.7658,0.8244,618031.0,749700,1,350000,1,1,1,1,"[3,1,2]","[5,7]",[],0,0
2725251,1,0,583765,2324,332,110,42,47,47,1400/12/28,5508,44,46,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,42,2,0,0,0,0,0,0,0.0,1.0617,549850,1.6679,0.7787,583765.0,749700,1,350000,1,1,1,1,"[6,4]",[7],[0],0,0
2725252,2,0,602546,1613,302,22,42,47,47,1400/12/28,5508,44,46,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.0958,549850,1.7216,0.8037,602546.0,749700,1,350000,1,1,1,1,[5],[7],[0],0,0
2725253,3,0,562623,749,6,133,120,42,50,1400/12/28,5508,47,49,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,42,2,0,0,0,0,0,0,0.0,1.0232,549850,1.6075,0.7505,562623.0,749700,1,350000,1,1,1,1,[5],[7],[0],0,0
2725254,4,0,553591,1647,185,133,42,49,49,1400/12/28,5508,46,48,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.0068,549850,1.5817,0.7384,553591.0,749700,1,350000,1,1,1,1,[5],[7],[1],0,0
2725255,5,0,576114,1416,270,120,42,89,89,1400/12/28,5508,86,88,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,42,2,0,0,0,0,0,0,0.0,1.0478,549850,1.646,0.7685,576114.0,749700,1,350000,1,1,1,1,[7],[],"[2,3,4]",0,0
2725256,6,0,544240,1170,56,125,42,65,65,1400/12/28,5508,64,65,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,42,2,0,0,0,0,0,0,0.0,0.9898,549850,1.555,0.7259,544240.0,749700,1,350000,1,1,1,1,[7],[],[1],0,0
2725257,7,0,560587,2928,95,155,22,42,94,1400/12/28,5508,91,93,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.0195,549850,1.6017,0.7477,560587.0,749700,1,350000,1,1,1,1,[],[],"[5,6]",0,0
2725258,0,1,583797,494,302,125,18,21,21,1400/12/28,5508,18,20,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,1,0,0,0,0,0,0,0.0,1.0617,549850,1.668,0.7787,583797.0,749700,1,350000,1,1,1,1,"[10,4,1,7]","[12,13]",[],0,0
2725259,1,1,570386,1808,257,155,18,23,23,1400/12/28,5508,20,22,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,1,0,0,0,0,0,0,0.0,1.0373,549850,1.6297,0.7608,570386.0,749700,1,350000,1,1,1,1,"[8,6,2,3]","[9,11,13]",[0],0,0
2725260,2,1,547662,1794,126,133,12,18,24,1400/12/28,5508,22,23,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,2,0,0,0,0,0,0,0.0,0.996,549850,1.5647,0.7305,547662.0,749700,1,350000,1,1,1,1,"[9,5]","[11,13]",[1],0,0
