Episode,Dataset,Qty fog nodes,Strategy,Random seed,P1,P2,P3,P4,P5,Simulation time,Avg task time,Total energy,Gateway idle energy,Gateway busy energy,Gateway total energy,Avg Gateway Busy Time,Avg Reward
0,1k,16,TP_DRL,3,285,97,7,0,0,2597.785836087034,22.803428539621155,1174729.2870718988,192043.0998627404,57557.03296973408,249600.13283247445,0.533300592779077,0.0225402198878301
1,1k,16,TP_DRL,3,317,109,10,0,0,2540.639522234191,24.3089140628406,1123614.382695179,186133.08274717792,58099.53658342837,244232.6193306063,0.5333594970757923,-0.0007029953138907
2,1k,16,TP_DRL,3,293,97,11,0,0,2597.787791703776,24.376570640754576,1170031.8861608645,190919.4734179669,58785.36090154133,249704.83431950823,0.5300158082638274,0.0161867943061091
3,1k,16,TP_DRL,3,289,98,6,0,0,2540.611451617068,25.13239732335309,1175379.560581414,184646.5136310905,59728.8034878064,244375.31711889693,0.5337056606012968,0.0206681931563069
4,1k,16,TP_DRL,3,320,105,13,0,0,2597.823254390064,25.555566610097788,1138746.0729709435,189883.84998339703,59875.1020787302,249758.95206212724,0.5451476304202135,-0.0021650377615991
5,1k,16,TP_DRL,3,267,88,10,0,0,2597.830834794281,24.29677314104365,1209401.600551254,189659.86131085284,60157.9606959513,249817.8220068041,0.536180172447075,0.0322087658549665
6,1k,16,TP_DRL,3,290,95,7,0,0,2540.604563478394,23.298375910144568,1161936.866703607,183736.93976528625,60777.77133236992,244514.71109765617,0.5412680259986954,0.0249322234131878
7,1k,16,TP_DRL,3,257,80,5,0,0,2597.833592251269,21.819451619430023,1217059.0150233735,188986.3542612877,60889.969263094026,249876.32352438173,0.5601769052285936,0.0489287202172368
8,1k,16,TP_DRL,3,297,88,9,0,0,2597.854143254257,23.453367481527028,1172424.0334039135,188490.9947197589,61483.65790361898,249974.65262337792,0.559895564836515,0.0245413383662752
9,1k,16,TP_DRL,3,301,93,11,0,0,2545.184344988792,23.747169303440423,1150863.5896884953,184112.46442592784,60821.73217075464,244934.19659668248,0.5526381938255017,0.0175914606715301
10,1k,16,TP_DRL,3,308,100,8,0,0,2540.5899944582256,23.86315007239975,1140335.9496182671,184230.92210667545,60215.29093081361,244446.21303748904,0.546018564771278,0.0115740106659496
11,1k,16,TP_DRL,3,321,104,7,0,0,2540.55978665071,24.22958496743261,1126955.7339746107,184820.65477704565,59521.02737580205,244341.6821528477,0.5553152334317722,0.0050956333181125
12,1k,16,TP_DRL,3,285,88,6,0,0,2597.8549696402456,24.316415974031965,1196693.118553529,188472.86177439924,61404.51068852703,249877.37246292623,0.562768717912681,0.0290008884023572
13,1k,16,TP_DRL,3,323,98,8,0,0,2597.793529113355,24.287950631317837,1140558.7408262107,189318.22960780017,60467.17002145096,249785.3996292512,0.5577985457763877,0.0064890245290303
14,1k,16,TP_DRL,3,280,88,12,0,0,2540.576606523569,23.509599378769284,1177588.587232615,183252.33785323505,61257.30643185134,244509.6442850864,0.5580552903331994,0.0250980098593902
15,1k,16,TP_DRL,3,294,87,7,0,0,2540.6000906862373,23.409927004792245,1166961.9187424018,184055.73579640343,60369.97979343981,244425.71558984328,0.5426471539462299,0.0282339511172785
16,1k,16,TP_DRL,3,291,101,4,0,0,2540.591407225006,23.91869169698204,1163282.5514699826,184139.66626174585,60235.55764531031,244375.2239070561,0.5532565942373084,0.0224115838959172
17,1k,16,TP_DRL,3,272,81,10,0,0,2549.2866849440743,22.996498034385542,1195436.9542067952,184033.6063821484,61345.203825301054,245378.81020744945,0.5692743626391807,0.0374521283927353
18,1k,16,TP_DRL,3,274,99,10,0,0,2540.660600583636,21.460354949203204,1161911.0978170063,184572.3923293723,59803.08460935298,244375.47693872527,0.5607444436148727,0.0255913446178663
19,1k,16,TP_DRL,3,280,80,11,0,0,2545.1859584167546,22.008730864032835,1177432.107871072,184555.7613186601,60293.24875193798,244849.0100705981,0.5631513635451213,0.0360027531284372
20,1k,16,TP_DRL,3,279,92,9,0,0,2549.387350771108,22.88326513699653,1175819.138698559,184293.7456064776,61048.72732054885,245342.47292702645,0.5655712733343888,0.0275466806929273
21,1k,16,TP_DRL,3,263,79,9,0,0,2597.838899483265,23.147646068477258,1216590.3834064486,189689.0547854233,60081.1342044422,249770.1889898655,0.5450658611960205,0.0421348786318198
22,1k,16,TP_DRL,3,260,81,11,0,0,2597.82641824517,22.6381766901898,1212689.480445177,188756.03992058852,61091.98898799452,249848.0289085831,0.5566357575845422,0.0402929693225058
23,1k,16,TP_DRL,3,302,97,7,0,0,2597.881890786065,24.458825345228952,1166076.9901374376,189046.7829545868,60768.58191463383,249815.36486922065,0.5601417302825857,0.0163018475240278
24,1k,16,TP_DRL,3,267,82,10,0,0,2597.8111651490267,23.85500189101251,1211817.8966592944,188625.9976356127,61250.28587951487,249876.2835151276,0.543931980232321,0.0374382786453568
25,1k,16,TP_DRL,3,276,100,12,0,0,2597.8084486437992,23.589855171134428,1178885.2385338603,188536.1906817206,61393.487938620776,249929.6786203413,0.5504535848312422,0.0191868380503863
26,1k,16,TP_DRL,3,296,89,14,0,0,2549.3088124586584,23.24436101856112,1157669.7904157816,183910.00191368125,61429.19681352172,245339.1987272029,0.5639955033832922,0.0172151906904198
27,1k,16,TP_DRL,3,280,87,11,0,0,2549.283362814293,22.90934185514568,1178060.3851070025,184780.26523359813,60463.86421509575,245244.1294486939,0.553444018844962,0.0281014752317311
28,1k,16,TP_DRL,3,279,84,5,0,0,2597.84615037395,22.151099391085904,1191312.912544657,189057.2049455738,60766.34919902423,249823.554144598,0.5504363044929751,0.0376484316344323
29,1k,16,TP_DRL,3,246,86,8,0,0,2597.8531122700547,21.66783440044193,1218378.6162536023,188237.5486026796,61732.522367260266,249970.0709699398,0.5635545389901045,0.0447559910950757
30,1k,16,TP_DRL,3,243,78,7,0,0,2597.789179365238,21.717333030077715,1230521.4288514168,188795.32551815608,61074.911884613895,249870.23740277,0.5514642999848216,0.0522431788490289
31,1k,16,TP_DRL,3,260,86,10,0,0,2597.8159961401134,22.40818067995145,1207762.56182503,189399.1972242708,60363.60327741182,249762.80050168265,0.5474642416600821,0.037170459861172
32,1k,16,TP_DRL,3,280,94,10,0,0,2597.807393136389,22.381423372204573,1175901.2720923228,187955.5026525978,62002.8110031398,249958.3136557376,0.5768799898922765,0.0251263691542481
33,1k,16,TP_DRL,3,250,102,11,0,0,2597.814802899908,22.07424688785196,1196755.9584386493,188165.8430677594,61782.77924040839,249948.62230816777,0.5702528540194951,0.0278773830794446
34,1k,16,TP_DRL,3,275,81,10,0,0,2597.825185386476,22.72919347189144,1197891.1854258133,187582.26872960269,62447.32151829671,250029.5902478994,0.5768440930727828,0.0353261820159844
35,1k,16,TP_DRL,3,248,76,10,0,0,2597.84492713128,23.45561738210905,1237472.881782809,188838.2894395151,61019.93179264628,249858.22123216133,0.5443878378268869,0.0472550248684199
36,1k,16,TP_DRL,3,270,89,10,0,0,2549.340180464132,22.64685571921197,1184138.8460949538,184522.27007873912,60766.32041150066,245288.5904902398,0.5561383951223331,0.0310926831448518
37,1k,16,TP_DRL,3,262,76,8,0,0,2597.8900869761087,22.248623633419324,1216052.5630381997,189142.10162757905,60716.28826705154,249858.38989463056,0.5575531796960419,0.0468981206971105
38,1k,16,TP_DRL,3,267,87,5,0,0,2597.7915980335288,21.27873517710888,1194637.5244155922,189182.20388739527,60663.89427895693,249846.0981663522,0.5619138631694458,0.0402890775100892
39,1k,16,TP_DRL,3,284,89,10,0,0,2597.85881085802,22.790396809306504,1179658.926145114,188817.3923256469,61094.91333132929,249912.3056569762,0.5597808757869668,0.0277099598858657
