Episode,Dataset,Qty fog nodes,Strategy,Random seed,P1,P2,P3,P4,P5,Simulation time,Avg task time,Total energy,Gateway idle energy,Gateway busy energy,Gateway total energy,Avg Gateway Busy Time,Avg Reward
0,1k,16,TP_DRL,3,233,76,6,0,0,2540.0,20.267804893596978,1234869.1325538424,237998.0,0.0,237998.0,0.0,0.0557483802226261
1,1k,16,TP_DRL,3,236,71,8,0,0,2548.718963737201,18.85671489396272,1223689.5029571692,238814.96690217577,0.0,238814.96690217577,0.0,0.0591365639194019
2,1k,16,TP_DRL,3,227,72,8,0,0,2597.231748799399,19.530339944086325,1248087.84023631,243360.6148625037,0.0,243360.6148625037,0.0,0.0602118058311885
3,1k,16,TP_DRL,3,258,90,5,0,0,2597.2317416937094,21.493318326446925,1214223.3391508542,243360.61419670057,0.0,243360.61419670057,0.0,0.0375546368190659
4,1k,16,TP_DRL,3,264,88,6,0,0,2597.231712494638,19.63423917241048,1193637.2973970408,243360.6114607476,0.0,243360.6114607476,0.0,0.0368622735283898
5,1k,16,TP_DRL,3,254,88,10,0,0,2548.718963737201,20.67723052967793,1199793.676957699,238814.96690217577,0.0,238814.96690217577,0.0,0.0354713435813097
6,1k,16,TP_DRL,3,232,77,9,0,0,2597.2317421529683,21.181699618831374,1246900.7117796,243360.6142397332,0.0,243360.6142397332,0.0,0.0528518055135864
7,1k,16,TP_DRL,3,252,87,11,0,0,2597.2317446777256,21.23122832477728,1214493.9069042546,243360.6144763029,0.0,243360.6144763029,0.0,0.0343801576384289
8,1k,16,TP_DRL,3,255,88,8,0,0,2597.231741355676,21.14483481713971,1213567.181839008,243360.6141650268,0.0,243360.6141650268,0.0,0.0347342300481207
9,1k,16,TP_DRL,3,240,81,7,0,0,2597.2317754970254,19.768003323512637,1228303.9332889265,243360.61736407128,0.0,243360.61736407128,0.0,0.0491492768173499
10,1k,16,TP_DRL,3,264,84,7,0,0,2597.231712494638,20.25385211813352,1201496.1755550194,243360.6114607476,0.0,243360.6114607476,0.0,0.038124979714964
11,1k,16,TP_DRL,3,254,79,9,0,0,2597.231732240437,19.978608587907267,1212407.463783146,243360.6133109289,0.0,243360.6133109289,0.0,0.0427391054125936
12,1k,16,TP_DRL,3,234,65,9,0,0,2597.2317193205768,19.9354699257746,1250420.6078635906,243360.61210033804,0.0,243360.61210033804,0.0,0.0622061808342998
13,1k,16,TP_DRL,3,250,77,9,0,0,2597.231738844905,19.030817671278506,1211325.369525361,243360.6139297677,0.0,243360.6139297677,0.0,0.0488677814108366
14,1k,16,TP_DRL,3,257,79,7,0,0,2597.2317754970254,20.28687626033213,1214561.0107463356,243360.61736407128,0.0,243360.61736407128,0.0,0.0460627287102699
15,1k,16,TP_DRL,3,271,96,8,0,0,2544.568093430034,20.908773986543835,1175399.4898242678,238426.0303543942,0.0,238426.0303543942,0.0,0.0253774169279704
16,1k,16,TP_DRL,3,225,70,8,0,0,2597.231732240437,20.09034733254881,1257947.0728871298,243360.6133109289,0.0,243360.6133109289,0.0,0.060001593313613
17,1k,16,TP_DRL,3,239,82,8,0,0,2597.231738844905,19.29533634643939,1222047.3224273382,243360.6139297677,0.0,243360.6139297677,0.0,0.0483527653105966
18,1k,16,TP_DRL,3,271,92,8,0,0,2597.2317408358044,20.9628778027868,1189272.9052025515,243360.6141163149,0.0,243360.6141163149,0.0,0.0283111195694833
